min_odds_limit,max_odds_limit,profit,roi,bets
-731,974,36.9801829499557,0.025574123755156084,1446
-731,974,36.9801829499557,0.025574123755156084,1446
-263,974,36.9801829499557,0.025574123755156084,1446
-279,971,36.9801829499557,0.025574123755156084,1446
-629,974,36.9801829499557,0.025574123755156084,1446
-731,974,36.9801829499557,0.025574123755156084,1446
-652,959,36.9801829499557,0.025574123755156084,1446
-731,974,36.9801829499557,0.025574123755156084,1446
-394,964,36.9801829499557,0.025574123755156084,1446
-731,974,36.9801829499557,0.025574123755156084,1446
-917,963,36.9801829499557,0.025574123755156084,1446
-962,331,36.96188829271154,0.03233761005486574,1143
-472,331,36.96188829271154,0.03233761005486574,1143
-441,302,35.660165050002156,0.03345231242964555,1066
-748,302,35.660165050002156,0.03345231242964555,1066
-407,277,33.222719983956615,0.03369444217439819,986
-320,277,33.222719983956615,0.03369444217439819,986
-242,277,33.222719983956615,0.03369444217439819,986
-797,240,30.199234505935244,0.03544511092245921,852
-797,240,30.199234505935244,0.03544511092245921,852
-261,232,29.86398398321652,0.0367783053980499,812
-261,232,29.86398398321652,0.0367783053980499,812
-917,220,29.198502620282685,0.03796944423963938,769
-407,209,28.65834029081263,0.04013773149973758,714
-407,209,28.65834029081263,0.04013773149973758,714
-917,209,28.65834029081263,0.04013773149973758,714
-407,209,28.65834029081263,0.04013773149973758,714
-407,209,28.65834029081263,0.04013773149973758,714
-860,193,26.50772776256594,0.0416788172367389,636
-962,193,26.50772776256594,0.0416788172367389,636
-424,193,26.50772776256594,0.0416788172367389,636
-838,193,26.50772776256594,0.0416788172367389,636
-322,193,26.50772776256594,0.0416788172367389,636
-424,193,26.50772776256594,0.0416788172367389,636
-668,181,24.794252276836115,0.04245591143293855,584
-668,181,24.794252276836115,0.04245591143293855,584
-363,181,24.794252276836115,0.04245591143293855,584
-408,124,9.95164252072873,0.04462619964452345,223
